[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\map.png	255	255	255
2	textures\enemy.png	255	255	255
3	textures\misc.png	255	255	255
4	textures\effect.png	255	255	255
5	textures\HUD.png	255	255	255
6	textures\pipe.png	255	255	255
10	textures\bbox.png	255	255	255
11	textures\MapTileSet.png	255	255	255
[MAP]
1	map.txt

[SPRITES]
# SMALL MARIO
# id	left	top	width	height	scale X	scale Y	xPivot	texture_id							
10000	660	24	42	48	1	1	0	0
10001	711	24	42	48	1	1	0	0
10002	762	27	36	45	1	1	0	0
10003	807	24	45	48	1	1	0	0
10004	861	24	42	48	-1	1	0	0
10005	912	24	48	48	1	1	0	0
10006	969	24	48	48	1	1	0	0
10007	1023	24	48	48	1	1	0	0
10008	1080	24	48	48	1	1	0	0
10009	1137	24	45	48	1	1	0	0
10010	1191	24	48	48	1	1	0	0
10011	1248	24	48	48	1	1	0	0
10012	1305	24	42	48	1	1	0	0
10013	1356	24	45	48	1	1	0	0
10014	1410	24	48	48	1	1	0	0
10015	1467	24	48	48	1	1	0	0
10016	1524	24	48	48	1	1	0	0
10017	1581	24	42	48	1	1	0	0
10018	1632	24	42	48	1	1	0	0
10019	1683	24	42	48	1	1	0	0
10020	1734	24	42	48	1	1	0	0


#BIG MARIO
# id	left	top	width	height	scale X	scale Y	xPivot	texture_id
10021	477	162	48	63	1	1	0	0
10022	534	162	48	63	1	1	0	0
10023	591	144	42	81	1	1	0	0
10024	645	144	45	81	1	1	0	0
10025	699	147	48	78	1	1	0	0
10026	756	141	48	84	-1	1	0	0
10027	813	147	48	78	1	1	0	0
10028	870	144	57	81	1	1	0	0
10029	936	144	57	81	1	1	0	0
10030	1005	147	57	78	1	1	0	0
10031	1071	147	57	78	1	1	0	0
10032	1137	172	42	54	1	1	0	0
10033	1188	147	48	78	1	1	0	0
10034	1245	144	48	81	1	1	0	0
10035	1302	144	42	81	1	1	0	0
10036	1356	144	42	81	1	1	0	0
10037	1407	144	48	81	1	1	0	0
10038	1464	144	63	81	1	1	0	0
10039	1536	144	57	81	1	1	0	0
10040	1602	147	57	78	1	1	0	0
10041	1668	144	57	81	1	1	0	0
10042	1734	144	54	81	1	1	0	0
10043	1797	147	57	78	1	1	0	0
10044	1863	150	48	75	1	1	0	0
10045	0	0	0	0	0	0	0	0


#FIRE MARIO
# id	left	top	width	height	scale X	scale Y	xPivot	texture_id
10046	372	345	48	63	1	1	0	0
10047	429	345	48	63	1	1	0	0
10048	486	372	24	24	1	1	0	0
10049	519	369	24	27	1	1	0	0
10050	552	372	24	24	1	1	0	0
10051	585	369	24	27	1	1	0	0
10052	618	327	42	81	1	1	0	0
10053	669	327	48	81	1	1	0	0
10054	726	330	48	78	1	1	0	0
10055	783	324	48	84	-1	1	0	0
10056	840	327	42	81	1	1	0	0
10057	891	327	42	81	1	1	0	0
10058	942	330	48	78	1	1	0	0
10059	999	327	57	81	1	1	0	0
10060	1065	327	57	81	1	1	0	0
10061	1134	330	57	78	1	1	0	0
10062	1200	330	57	78	1	1	0	0
10063	1266	354	42	54	1	1	0	0
10064	1317	330	48	78	1	1	0	0
10065	1374	327	48	81	1	1	0	0
10066	1431	327	42	81	1	1	0	0
10067	1482	327	45	81	1	1	0	0
10068	1536	330	48	78	1	1	0	0
10069	1593	327	63	81	1	1	0	0
10070	1665	327	57	81	1	1	0	0
10071	1731	330	57	78	1	1	0	0
10072	1797	327	57	81	1	1	0	0
10073	1863	327	54	81	1	1	0	0
10074	1926	330	57	78	1	1	0	0
10075	1992	333	48	75	1	1	0	0
10076	2049	333	48	75	1	1	0	0



#RACOON MARIO
# id	left	top	width	height	scale X	scale Y	xPivot	texture_id
10077	12	438	48	72	1	1	0	0
10078	69	438	48	72	1	1	0	0
10079	126	438	48	72	1	1	0	0
10080	183	438	48	72	1	1	0	0
10081	240	426	63	84	1	1	11	0
10082	312	426	66	84	1	1	11	0
10083	387	429	69	81	1	1	11	0
10084	465	420	48	90	-1	1	0	0
10085	522	426	48	84	1	1	0	0
10086	579	426	69	84	1	1	-11	0
10087	657	426	48	84	1	1	0	0
10088	714	450	48	48	1	1	0	0
10089	771	429	69	81	1	1	11	0
10090	849	429	69	81	1	1	11	0
10091	927	429	69	81	1	1	11	0
10092	1005	426	66	84	1	1	11	0
10093	1080	426	72	84	1	1	11	0
10094	1161	426	72	84	1	1	11	0
10095	1242	429	72	81	1	1	11	0
10096	1323	429	72	81	1	1	11	0
10097	1404	429	72	81	1	1	11	0
10098	1485	426	72	84	1	1	11	0
10099	1566	456	66	54	1	1	11	0
10100	1641	429	48	81	1	1	0	0
10101	1698	426	63	84	1	1	11	0
10102	1770	426	66	84	1	1	11	0
10103	1845	429	69	81	1	1	11	0
10104	1923	426	66	84	1	1	0	0
10105	1998	426	72	84	1	1	11	0
10106	2079	429	72	81	1	1	11	0
10107	2160	426	72	84	1	1	11	0
10108	2241	426	69	84	1	1	11	0
10109	2319	429	72	81	1	1	11	0
10110	2400	426	48	84	1	1	0	0
10111	2457	426	48	84	1	1	0	0

#GOOMBA
20000	27	33	48	48	1	1	0	2
20001	96	33	48	48	1	1	0	2
20002	162	54	48	48	1	1	0	2
20003	27	33	48	48	1	-1	0	2

#KOOPAS
21000	93	357	48	78	-1	1	0	2
21001	150	354	48	81	-1	1	0	2
21002	222	381	54	48	1	1	0	2
21003	96	447	48	48	1	1	0	2
21004	159	444	48	48	1	1	0	2
21005	222	444	48	48	1	1	0	2
21006	222	381	54	48	1	-1	0	2

#Plant
22000	660	198	48	96	1	1	0	2
22001	708	198	48	96	1	1	0	2
22002	756	198	48	96	1	1	0	2
22003	804	198	48	96	1	1	0	2

#flygoomba
20004	225	19	59	72	1	1	0	2
20005	297	18	60	72	1	1	0	2
20006	375	18	60	72	1	1	0	2
20007	447	18	60	72	1	1	0	2

#fly koopas
21007	315	387	48	81	-1	1	0	2
21008	378	390	48	78	-1	1	0	2
21009	441	387	48	81	-1	1	0	2

#EFFECT
40000	114	3	48	48	1	1	0	4
40001	168	3	48	48	1	1	0	4
40002	222	3	48	48	1	1	0	4
40003	276	3	48	48	1	1	0	4

#MISC
#EMPTY  BRCIK
30000	705	564	48	48	1	1	0	3

#QUESTION BRICK
